frame,timestamp,student_id,class_name,gaze_score,posture_score,motion_score,engagement_score
1,1775027038.9078794,1,person,0.5,0.6,0.0,0.44999999999999996
1,1775027038.9078794,2,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,3,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,6,person,0.5,0.6,0.0,0.44999999999999996
1,1775027038.9078794,7,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,9,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,11,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,12,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,13,person,0.5049887895584106,1.0,0.0,0.5529932737350464
1,1775027038.9078794,14,person,0.5,1.0,0.0,0.55
1,1775027038.9078794,15,person,0.5,1.0,0.0,0.55
2,1775027046.4805744,1,person,0.5,0.6,0.43724289536476135,0.5155864357948303
2,1775027046.4805744,2,person,0.5,1.0,0.41919153928756714,0.6128787398338318
2,1775027046.4805744,3,person,0.5,1.0,0.36523380875587463,0.6047850847244263
2,1775027046.4805744,6,person,0.5,0.6,0.1457025408744812,0.47185537219047546
2,1775027046.4805744,7,person,0.5,1.0,0.49843207001686096,0.6247648000717163
2,1775027046.4805744,9,person,0.5,1.0,0.21966512501239777,0.5829497575759888
2,1775027046.4805744,11,person,0.5,1.0,0.09211589395999908,0.5638173818588257
2,1775027046.4805744,12,person,0.5,1.0,0.15410521626472473,0.5731158256530762
2,1775027046.4805744,13,person,0.47801071405410767,1.0,0.253062903881073,0.5747658610343933
2,1775027046.4805744,14,person,0.5,0.6,0.4682578146457672,0.5202386379241943
2,1775027046.4805744,15,person,0.4372245669364929,1.0,0.15894672274589539,0.5361768007278442
3,1775027048.99361,1,person,0.5,0.6,0.3067457973957062,0.4960118532180786
3,1775027048.99361,2,person,0.5,1.0,0.19545677304267883,0.5793185234069824
3,1775027048.99361,3,person,0.5,1.0,0.3419966399669647,0.601299524307251
3,1775027048.99361,6,person,0.5,0.6,0.18481379747390747,0.47772204875946045
3,1775027048.99361,7,person,0.5,1.0,0.14841173589229584,0.5722617506980896
3,1775027048.99361,9,person,0.5,1.0,0.3761807084083557,0.6064271330833435
3,1775027048.99361,11,person,0.5,1.0,0.060727477073669434,0.5591091513633728
3,1775027048.99361,12,person,0.5,1.0,0.17175409197807312,0.5757631063461304
3,1775027048.99361,13,person,0.5,1.0,0.18750718235969543,0.578126072883606
3,1775027048.99361,14,person,0.5,0.6,0.7621661424636841,0.5643249154090881
3,1775027048.99361,15,person,0.567083477973938,1.0,0.27037474513053894,0.6308062672615051
4,1775027051.2721326,1,person,0.5,0.6,0.23343482613563538,0.48501521348953247
4,1775027051.2721326,2,person,0.5,1.0,0.22134307026863098,0.5832014679908752
4,1775027051.2721326,3,person,0.5,1.0,0.2842840850353241,0.592642605304718
4,1775027051.2721326,6,person,0.5,0.6,0.12118043750524521,0.46817705035209656
4,1775027051.2721326,7,person,0.5,1.0,0.14571532607078552,0.5718573331832886
4,1775027051.2721326,9,person,0.5,1.0,0.3580409288406372,0.6037061810493469
4,1775027051.2721326,11,person,0.5,1.0,0.21126408874988556,0.5816895961761475
4,1775027051.2721326,12,person,0.5,0.6,0.07309667021036148,0.46096450090408325
4,1775027051.2721326,13,person,0.5,1.0,0.26527729630470276,0.5897915959358215
4,1775027051.2721326,14,person,0.5,0.6,0.33597418665885925,0.5003961324691772
4,1775027051.2721326,20,person,0.5,1.0,0.0,0.55
5,1775027053.4968705,1,person,0.5,0.6,0.20302776992321014,0.48045414686203003
5,1775027053.4968705,2,person,0.5,1.0,0.09446100145578384,0.56416916847229
5,1775027053.4968705,3,person,0.5,1.0,0.15727224946022034,0.573590874671936
5,1775027053.4968705,6,person,0.5,0.6,0.11213604360818863,0.4668203890323639
5,1775027053.4968705,7,person,0.5,1.0,0.32965609431266785,0.5994484424591064
5,1775027053.4968705,9,person,0.5,1.0,0.562744677066803,0.6344116926193237
5,1775027053.4968705,11,person,0.5,1.0,0.12143166363239288,0.5682147741317749
5,1775027053.4968705,12,person,0.5,1.0,0.0854479968547821,0.5628172159194946
5,1775027053.4968705,13,person,0.5,1.0,0.18859480321407318,0.5782892107963562
5,1775027053.4968705,14,person,0.5,0.6,0.3425697386264801,0.5013854503631592
5,1775027053.4968705,20,person,0.5,1.0,0.06788294017314911,0.5601824522018433
5,1775027053.4968705,15,person,0.4964686632156372,1.0,1.0,0.6978811979293823
6,1775027055.9266572,1,person,0.5,1.0,0.36512768268585205,0.6047691702842712
6,1775027055.9266572,2,person,0.5,1.0,0.14821699261665344,0.5722325444221497
6,1775027055.9266572,3,person,0.5,1.0,0.13834142684936523,0.5707512497901917
6,1775027055.9266572,6,person,0.5,0.6,0.15378163754940033,0.4730672240257263
6,1775027055.9266572,7,person,0.5,1.0,0.13298171758651733,0.5699472427368164
6,1775027055.9266572,9,person,0.5,1.0,0.3040522336959839,0.5956078767776489
6,1775027055.9266572,11,person,0.5,1.0,0.23598098754882812,0.5853971838951111
6,1775027055.9266572,12,person,0.5,1.0,0.0467119999229908,0.5570068359375
6,1775027055.9266572,13,person,0.5,1.0,0.16333839297294617,0.5745007991790771
6,1775027055.9266572,14,person,0.5,0.6,0.13439297676086426,0.4701589345932007
6,1775027055.9266572,20,person,0.5,1.0,0.1743040531873703,0.5761456489562988
6,1775027055.9266572,15,person,0.5975703001022339,1.0,1.0,0.7585421800613403
7,1775027058.2543793,1,person,0.5,1.0,0.4043239951133728,0.6106486320495605
7,1775027058.2543793,2,person,0.5,1.0,0.17477251589298248,0.5762158632278442
7,1775027058.2543793,3,person,0.5,1.0,0.10425714403390884,0.5656386017799377
7,1775027058.2543793,6,person,0.5,0.6,0.21088063716888428,0.4816320836544037
7,1775027058.2543793,7,person,0.5,1.0,0.1690818965435028,0.5753623247146606
7,1775027058.2543793,9,person,0.5,0.6,0.2599164545536041,0.48898744583129883
7,1775027058.2543793,11,person,0.5,1.0,0.09831380099058151,0.5647470951080322
7,1775027058.2543793,12,person,0.5,1.0,0.105784572660923,0.5658677220344543
7,1775027058.2543793,13,person,0.5,1.0,0.39243873953819275,0.6088657975196838
7,1775027058.2543793,14,person,0.5,0.6,1.0,0.6
7,1775027058.2543793,15,person,0.5677462220191956,1.0,1.0,0.7406477332115173
8,1775027060.9892678,1,person,0.5,1.0,0.4290466904640198,0.6143569946289062
8,1775027060.9892678,2,person,0.5,1.0,0.23640990257263184,0.5854614973068237
8,1775027060.9892678,3,person,0.5,1.0,0.09966759383678436,0.564950168132782
8,1775027060.9892678,6,person,0.5,0.6,0.254210889339447,0.4881316125392914
8,1775027060.9892678,7,person,0.5,1.0,0.3555898666381836,0.6033384799957275
8,1775027060.9892678,9,person,0.5,0.6,0.42155560851097107,0.5132333040237427
8,1775027060.9892678,11,person,0.5,1.0,0.0956641435623169,0.5643496513366699
8,1775027060.9892678,12,person,0.5,1.0,0.10790954530239105,0.5661864280700684
8,1775027060.9892678,13,person,0.5,1.0,0.20786957442760468,0.5811804533004761
8,1775027060.9892678,14,person,0.5,0.6,0.527251660823822,0.5290877223014832
8,1775027060.9892678,15,person,0.5712258219718933,1.0,0.38428795337677,0.6503786444664001
9,1775027063.3116667,1,person,0.5,1.0,0.521987795829773,0.6282981634140015
9,1775027063.3116667,2,person,0.5,1.0,0.4827336370944977,0.6224100589752197
9,1775027063.3116667,3,person,0.5,1.0,0.15212757885456085,0.572819173336029
9,1775027063.3116667,6,person,0.5,0.6,0.24257485568523407,0.4863862097263336
