frame,timestamp,local_track_id,global_student_id,reid_confidence,class_name,gaze_score,posture_score,motion_score,head_down,writing_posture,activity,engagement_score
1,1776751227.4219415,1,20,1.0,person,0.55,1.0,0.0,False,False,,0.7749999999999999
1,1776751227.4219415,2,2,1.0,person,0.85,1.0,0.0,True,True,WRITING,1.0
1,1776751227.4219415,3,3,1.0,person,0.85,1.0,0.0,True,True,WRITING,1.0
1,1776751227.4219415,5,4,1.0,person,0.9862341741028988,1.0,0.0,True,True,WRITING,1.0
1,1776751227.4219415,7,5,1.0,person,0.55,1.0,0.0,False,False,,0.7749999999999999
1,1776751227.4219415,9,1,1.0,person,0.85,1.0,0.0,True,True,WRITING,1.0
1,1776751227.4219415,10,7,1.0,person,0.85,1.0,0.0,True,True,WRITING,1.0
1,1776751227.4219415,13,8,1.0,person,0.85,0.85,0.0,True,True,WRITING,0.985
3,1776751231.044604,1,20,1.0,person,0.55,1.0,0.08140729367733,False,False,,0.7424370646476746
3,1776751231.044604,2,2,1.0,person,0.85,1.0,0.237113282084465,True,True,WRITING,0.9881443381309508
3,1776751231.044604,3,3,1.0,person,0.85,1.0,0.2091420143842697,True,True,WRITING,0.9895429015159608
3,1776751231.044604,5,4,1.0,person,0.962616311982018,1.0,0.2460362464189529,True,True,WRITING,0.9876981973648072
3,1776751231.044604,7,5,1.0,person,0.55,1.0,0.0928414463996887,False,False,,0.7378634214401245
3,1776751231.044604,9,1,1.0,person,0.85,1.0,1.0,True,True,WRITING,0.95
3,1776751231.044604,10,7,1.0,person,0.85,1.0,1.0,True,True,WRITING,0.95
3,1776751231.044604,13,8,1.0,person,0.85,0.85,0.1565044373273849,True,True,WRITING,0.9771747589111328
5,1776751233.712947,1,20,1.0,person,0.55,1.0,0.2273500710725784,False,False,,0.723727900452084
5,1776751233.712947,2,2,1.0,person,0.85,1.0,0.1383621245622635,True,True,WRITING,0.9929733872413636
5,1776751233.712947,3,3,1.0,person,0.85,1.0,0.2050060033798217,True,True,WRITING,0.9919585982958476
5,1776751233.712947,5,4,1.0,person,0.965820019971982,1.0,0.1142676621675491,True,True,WRITING,0.9933601087994046
5,1776751233.712947,7,5,1.0,person,0.55,1.0,0.084816999733448,False,False,,0.7475425587760077
5,1776751233.712947,9,1,1.0,person,0.85,1.0,1.0,True,True,WRITING,0.9611111111111108
5,1776751233.712947,10,7,1.0,person,0.85,1.0,0.2135370969772339,True,True,WRITING,0.9785880618625216
5,1776751233.712947,13,8,1.0,person,0.85,0.85,0.1269131004810333,True,True,WRITING,0.9795712863074408
7,1776751236.509849,1,20,1.0,person,0.55,1.0,0.1159544736146926,False,False,,0.7270420763227675
7,1776751236.509849,2,2,1.0,person,0.85,1.0,0.2043194025754928,True,True,WRITING,0.992038372490141
7,1776751236.509849,3,3,1.0,person,0.85,1.0,0.1630765199661255,True,True,WRITING,0.9921109345224168
7,1776751236.509849,5,4,1.0,person,0.967658061199029,1.0,0.0621508061885833,True,True,WRITING,0.994643360376358
7,1776751236.509849,7,5,1.0,person,0.55,1.0,0.241432636976242,False,False,,0.7251322872108883
7,1776751236.509849,9,1,1.0,person,0.85,1.0,0.4677601754665375,True,True,WRITING,0.9672039906183878
7,1776751236.509849,10,7,1.0,person,0.85,1.0,0.4545714259147644,True,True,WRITING,0.9783469067679512
7,1776751236.509849,13,8,1.0,person,0.85,0.85,0.1506595760583877,True,True,WRITING,0.9789873701996272
9,1776751239.5504496,1,20,1.0,person,0.55,1.0,0.2221048176288604,False,False,,0.7168712369600932
9,1776751239.5504496,2,2,1.0,person,0.85,1.0,0.1675174087285995,True,True,WRITING,0.992023128271103
9,1776751239.5504496,3,3,1.0,person,0.85,1.0,0.2511332333087921,True,True,WRITING,0.9909560720125834
9,1776751239.5504496,5,4,1.0,person,0.9607408360842902,1.0,0.0940042212605476,True,True,WRITING,0.9948285261789958
9,1776751239.5504496,7,5,1.0,person,0.55,1.0,0.1213070154190063,False,False,,0.7265520783265432
9,1776751239.5504496,9,1,1.0,person,0.85,1.0,0.173130914568901,True,True,WRITING,0.973901043732961
9,1776751239.5504496,10,7,1.0,person,0.85,1.0,0.9775274991989136,True,True,WRITING,0.9711942553520204
9,1776751239.5504496,13,8,1.0,person,0.85,0.85,0.1830568760633468,True,True,WRITING,0.9782282075087227
11,1776751242.0142736,1,20,1.0,person,0.55,1.0,0.4854999482631683,False,False,,0.6873424530029296
11,1776751242.0142736,2,2,1.0,person,0.85,1.0,0.1151347383856773,True,True,WRITING,0.9925724625587464
11,1776751242.0142736,3,3,1.0,person,0.85,1.0,0.1530531197786331,True,True,WRITING,0.9913497289021812
11,1776751242.0142736,5,4,1.0,person,0.9669109937171866,1.0,0.0595059916377067,True,True,WRITING,0.9953173319498698
11,1776751242.0142736,7,5,1.0,person,0.55,1.0,0.0938684940338134,False,False,,0.7295539855957031
11,1776751242.0142736,10,7,1.0,person,0.85,1.0,0.1226083859801292,True,True,WRITING,0.9764942502975464
11,1776751242.0142736,13,8,1.0,person,0.7,0.7,0.1142786294221878,True,False,FOCUSED,0.966466433207194
13,1776751244.15576,1,20,1.0,person,0.55,1.0,0.5912337899208069,False,False,,0.6671029157108731
13,1776751244.15576,2,2,1.0,person,0.85,1.0,0.2061474621295929,True,True,WRITING,0.9920468245233808
13,1776751244.15576,3,3,1.0,person,0.85,1.0,0.1130177155137062,True,True,WRITING,0.9919659788646394
13,1776751244.15576,5,4,1.0,person,0.9649171159603024,1.0,0.0786520168185234,True,True,WRITING,0.9954490557549492
13,1776751244.15576,7,5,1.0,person,0.55,1.0,0.1197602897882461,False,False,,0.7293868816088116
13,1776751244.15576,10,7,1.0,person,0.85,1.0,0.1216797083616256,True,True,WRITING,0.9798542965026128
13,1776751244.15576,13,8,1.0,person,0.85,0.85,0.0687356516718864,True,True,WRITING,0.9696649410989548
13,1776751244.15576,9,1,1.0,person,0.85,1.0,0.3087239861488342,True,True,WRITING,0.9762360978126527
15,1776751246.5964572,1,20,1.0,person,0.55,1.0,0.1843143105506897,False,False,,0.6740166292304085
15,1776751246.5964572,2,2,1.0,person,0.85,1.0,0.1739275455474853,True,True,WRITING,0.9919496533416566
15,1776751246.5964572,3,3,1.0,person,0.85,1.0,0.1542250663042068,True,True,WRITING,0.9920378228028616
15,1776751246.5964572,5,4,1.0,person,0.9618049850642106,1.0,0.0732015818357467,True,True,WRITING,0.9955871247109912
15,1776751246.5964572,7,5,1.0,person,0.55,1.0,0.0540571212768554,False,False,,0.7335957471813476
15,1776751246.5964572,10,7,1.0,person,0.85,1.0,0.534949541091919,True,True,WRITING,0.978712617357572
15,1776751246.5964572,13,8,1.0,person,0.85,0.85,0.0756603628396987,True,True,WRITING,0.9717456584317344
15,1776751246.5964572,9,1,1.0,person,0.85,1.0,0.1299970746040344,True,True,WRITING,0.9794467451080442
17,1776751249.2065268,1,20,1.0,person,0.55,1.0,0.1234376430511474,False,False,,0.6744380730958212
17,1776751249.2065268,2,2,1.0,person,0.85,1.0,0.1013807877898216,True,True,WRITING,0.9918444043114072
17,1776751249.2065268,3,3,1.0,person,0.85,1.0,0.1170424222946167,True,True,WRITING,0.9918057194777896
17,1776751249.2065268,5,4,1.0,person,0.9600112899299158,1.0,0.1030600294470787,True,True,WRITING,0.9951615170353936
17,1776751249.2065268,7,5,1.0,person,0.55,1.0,0.0535466596484184,False,False,,0.7338739903200239
17,1776751249.2065268,10,7,1.0,person,0.85,1.0,0.4167452752590179,True,True,WRITING,0.9772783492292676
17,1776751249.2065268,13,8,1.0,person,0.85,0.85,0.1337284445762634,True,True,WRITING,0.9717988306567782
17,1776751249.2065268,9,1,1.0,person,0.85,1.0,0.1743498742580413,True,True,WRITING,0.9812990323418664
19,1776751251.6630862,1,20,1.0,person,0.55,1.0,0.160229355096817,False,False,,0.6753204586960019
19,1776751251.6630862,2,2,1.0,person,0.85,1.0,0.1948967427015304,True,True,WRITING,0.9918670434327354
19,1776751251.6630862,3,3,1.0,person,0.85,1.0,0.0737573876976966,True,True,WRITING,0.9927509270963216
19,1776751251.6630862,5,4,1.0,person,0.9472745516902016,1.0,0.1805807948112487,True,True,WRITING,0.9950299497161592
19,1776751251.6630862,7,5,1.0,person,0.55,1.0,0.1046089380979538,False,False,,0.7336556797935848
19,1776751251.6630862,10,7,1.0,person,0.85,1.0,0.1354536563158035,True,True,WRITING,0.9820076745180856
19,1776751251.6630862,13,8,1.0,person,0.85,0.85,0.185706689953804,True,True,WRITING,0.9720574021339417
19,1776751251.6630862,9,1,1.0,person,0.85,1.0,0.2191970348358154,True,True,WRITING,0.9814092722677048
21,1776751254.1273582,1,20,1.0,person,0.55,1.0,0.1664263308048248,False,False,,0.6803348497265862
21,1776751254.1273582,2,2,1.0,person,0.85,1.0,0.1080656424164772,True,True,WRITING,0.9922354632899874
21,1776751254.1273582,3,3,1.0,person,0.85,1.0,0.0955941826105117,True,True,WRITING,0.993418806365558
21,1776751254.1273582,5,4,1.0,person,0.9569493217194122,1.0,0.1181653141975402,True,True,WRITING,0.9949089508681068
21,1776751254.1273582,7,5,1.0,person,0.55,1.0,0.1906920224428177,False,False,,0.7275252611864181
21,1776751254.1273582,10,7,1.0,person,0.85,1.0,0.1005988121032714,True,True,WRITING,0.9837040468340827
21,1776751254.1273582,13,8,1.0,person,0.85,0.85,0.6696416735649109,True,True,WRITING,0.9681948815073286
21,1776751254.1273582,9,1,1.0,person,0.85,1.0,0.1789602935314178,True,True,WRITING,0.9855567212615696
23,1776751257.1616333,1,20,1.0,person,0.55,1.0,0.3870424628257751,False,False,,0.6671686532951536
23,1776751257.1616333,2,2,1.0,person,0.85,1.0,0.3065562546253204,True,True,WRITING,0.9911673225107648
23,1776751257.1616333,3,3,1.0,person,0.85,1.0,0.1506483107805252,True,True,WRITING,0.9934130240054356
23,1776751257.1616333,5,4,1.0,person,0.9726765407188148,1.0,0.056313406676054,True,True,WRITING,0.9951195702666328
23,1776751257.1616333,7,5,1.0,person,0.55,1.0,0.1625640988349914,False,False,,0.728248934660639
23,1776751257.1616333,10,7,1.0,person,0.85,1.0,0.3162463307380676,True,True,WRITING,0.9843969699882326
23,1776751257.1616333,13,8,1.0,person,0.85,0.85,0.5094956159591675,True,True,WRITING,0.9660747699794316
23,1776751257.1616333,9,1,1.0,person,0.85,1.0,0.2176366597414016,True,True,WRITING,0.9888931541215804
25,1776751260.668769,1,20,1.0,person,0.55,1.0,0.2385427206754684,False,False,,0.6682262034643264
25,1776751260.668769,2,2,1.0,person,0.85,1.0,0.2943280637264251,True,True,WRITING,0.9901305039723716
25,1776751260.668769,3,3,1.0,person,0.85,1.0,0.2146436423063278,True,True,WRITING,0.9931810377609164
25,1776751260.668769,5,4,1.0,person,0.957503188318548,1.0,0.1382131427526474,True,True,WRITING,0.9947579758507864
25,1776751260.668769,7,5,1.0,person,0.55,1.0,0.1871325373649597,False,False,,0.7235269844532013
25,1776751260.668769,10,7,1.0,person,0.85,1.0,0.2940422892570495,True,True,WRITING,0.9870602928456806
25,1776751260.668769,13,8,1.0,person,0.85,0.85,0.5468441843986511,True,True,WRITING,0.963972716530164
25,1776751260.668769,9,1,1.0,person,0.85,1.0,0.3282707631587982,True,True,WRITING,0.9889410847709292
27,1776751263.8061814,1,20,1.0,person,0.55,1.0,0.5245711803436279,False,False,,0.6594571231376557
27,1776751263.8061814,2,2,1.0,person,0.85,1.0,0.1818126589059829,True,True,WRITING,0.9899197064694903
27,1776751263.8061814,3,3,1.0,person,0.85,1.0,0.2793880105018616,True,True,WRITING,0.9920375020731064
27,1776751263.8061814,5,4,1.0,person,0.975781767694298,1.0,0.155333325266838,True,True,WRITING,0.9941568211430596
27,1776751263.8061814,7,5,1.0,person,0.55,1.0,0.3322942852973938,False,False,,0.7086570809284846
27,1776751263.8061814,10,7,1.0,person,0.85,1.0,0.1358316987752914,True,True,WRITING,0.9875819221848534
27,1776751263.8061814,13,8,1.0,person,0.85,0.85,0.7335339784622192,True,True,WRITING,0.9641633942013697
27,1776751263.8061814,9,1,1.0,person,0.85,1.0,0.2637543380260467,True,True,WRITING,0.9883913823536464
29,1776751267.1449394,1,20,1.0,person,0.55,1.0,0.2772831916809082,False,False,,0.6660191591296877
29,1776751267.1449394,2,2,1.0,person,0.85,1.0,0.2735753357410431,True,True,WRITING,0.9893089561235336
29,1776751267.1449394,3,3,1.0,person,0.85,1.0,0.2993664145469665,True,True,WRITING,0.990659697424798
29,1776751267.1449394,5,4,1.0,person,0.9615120439335668,1.0,0.1653827428817749,True,True,WRITING,0.9935973414352964
29,1776751267.1449394,7,5,1.0,person,0.85,1.0,0.4548791348934173,True,True,WRITING,0.7515246023734411
29,1776751267.1449394,10,7,1.0,person,0.85,1.0,0.399411678314209,True,True,WRITING,0.985911604903993
29,1776751267.1449394,13,8,1.0,person,0.85,0.85,0.5154415965080261,True,True,WRITING,0.961853619132723
29,1776751267.1449394,9,1,1.0,person,0.85,1.0,0.2332016676664352,True,True,WRITING,0.9886344855739958
31,1776751270.8671894,1,20,1.0,person,0.55,1.0,0.1038729324936866,False,False,,0.6740617364645004
31,1776751270.8671894,2,2,1.0,person,0.85,1.0,0.2479659616947174,True,True,WRITING,0.9888366851068678
31,1776751270.8671894,3,3,1.0,person,0.85,1.0,0.1961872279644012,True,True,WRITING,0.990399814077786
31,1776751270.8671894,5,4,1.0,person,0.95498848737212,1.0,0.0628882497549057,True,True,WRITING,0.9939241366727012
31,1776751270.8671894,7,5,1.0,person,0.85,1.0,0.2298802584409713,True,True,WRITING,0.7914117787565503
31,1776751270.8671894,10,7,1.0,person,0.85,1.0,0.2692856192588806,True,True,WRITING,0.9869669512623832
31,1776751270.8671894,13,8,1.0,person,0.85,0.85,0.6224588751792908,True,True,WRITING,0.95894265742529
31,1776751270.8671894,9,1,1.0,person,0.85,1.0,0.0981135815382003,True,True,WRITING,0.9893200574886232
33,1776751273.8199165,1,20,1.0,person,0.55,1.0,0.1020133048295974,False,False,,0.6801059055896032
33,1776751273.8199165,2,2,1.0,person,0.85,1.0,0.2149568796157837,True,True,WRITING,0.9884244671889714
33,1776751273.8199165,3,3,1.0,person,0.85,1.0,0.1804664134979248,True,True,WRITING,0.9901631197759084
33,1776751273.8199165,5,4,1.0,person,0.9754157622955496,1.0,0.1097870618104934,True,True,WRITING,0.9939606125865664
33,1776751273.8199165,7,5,1.0,person,0.85,1.0,0.4102732539176941,True,True,WRITING,0.8269819475355602
33,1776751273.8199165,10,7,1.0,person,0.85,1.0,0.3333596289157867,True,True,WRITING,0.9869080618733452
33,1776751273.8199165,13,8,1.0,person,0.9598049513121868,0.85,0.7843078374862671,True,True,WRITING,0.9552158230826968
33,1776751273.8199165,9,1,1.0,person,0.85,1.0,0.2438487112522125,True,True,WRITING,0.9889306000300816
35,1776751276.453194,1,20,1.0,person,0.55,1.0,0.2136790752410888,False,False,,0.6796548536845615
35,1776751276.453194,2,2,1.0,person,0.85,1.0,0.1268921792507171,True,True,WRITING,0.9891477078199388
35,1776751276.453194,3,3,1.0,person,0.85,1.0,0.1966531872749328,True,True,WRITING,0.989674693771771
35,1776751276.453194,5,4,1.0,person,0.9418339990680812,1.0,0.1114117056131362,True,True,WRITING,0.9942644117843537
35,1776751276.453194,7,5,1.0,person,0.85,1.0,0.371148020029068,True,True,WRITING,0.8616477300723394
35,1776751276.453194,10,7,1.0,person,0.85,1.0,0.1917916983366012,True,True,WRITING,0.9869746473573504
35,1776751276.453194,13,8,1.0,person,0.85,0.85,0.6730271577835083,True,True,WRITING,0.9529892113946732
35,1776751276.453194,9,1,1.0,person,0.85,1.0,0.3814043402671814,True,True,WRITING,0.9875963798591068
37,1776751279.0783622,1,20,1.0,person,0.55,1.0,0.3242880702018738,False,False,,0.6722614508299601
37,1776751279.0783622,2,2,1.0,person,0.85,1.0,0.1496261656284332,True,True,WRITING,0.9893309062435516
37,1776751279.0783622,3,3,1.0,person,0.85,1.0,0.2737517058849334,True,True,WRITING,0.9886949204263232
37,1776751279.0783622,5,4,1.0,person,0.95536616722019,1.0,0.1114199161529541,True,True,WRITING,0.9943040566784994
37,1776751279.0783622,7,5,1.0,person,0.85,1.0,0.3047239482402801,True,True,WRITING,0.896370781319482
37,1776751279.0783622,10,7,1.0,person,0.85,1.0,1.0,True,True,WRITING,0.9802152229206902
37,1776751279.0783622,13,8,1.0,person,0.9823663094936502,0.85,0.9002786874771118,True,True,WRITING,0.9508872415338244
37,1776751279.0783622,9,1,1.0,person,0.85,1.0,0.2399268597364425,True,True,WRITING,0.9873939887398766
39,1776751281.4883451,1,20,1.0,person,0.55,1.0,0.205906867980957,False,False,,0.679815171446119
39,1776751281.4883451,2,2,1.0,person,0.85,1.0,0.2009437829256057,True,True,WRITING,0.989820095045226
39,1776751281.4883451,3,3,1.0,person,0.85,1.0,0.1299380660057068,True,True,WRITING,0.9892162673530124
39,1776751281.4883451,5,4,1.0,person,0.9496757162827036,1.0,0.0894501283764839,True,True,WRITING,0.9943018733035952
39,1776751281.4883451,7,5,1.0,person,0.85,1.0,0.3407362401485443,True,True,WRITING,0.926584834144229
39,1776751281.4883451,10,7,1.0,person,0.85,1.0,0.4943915903568268,True,True,WRITING,0.978974725235076
39,1776751281.4883451,13,8,1.0,person,0.9134031121601818,0.85,0.8643997311592102,True,True,WRITING,0.9486496036960966
39,1776751281.4883451,9,1,1.0,person,0.85,1.0,0.2337859570980072,True,True,WRITING,0.9874171870095388
41,1776751283.8627875,1,20,1.0,person,0.55,1.0,0.1622635126113891,False,False,,0.6851730420475914
41,1776751283.8627875,2,2,1.0,person,0.85,1.0,0.1457225680351257,True,True,WRITING,0.9906629238809858
41,1776751283.8627875,3,3,1.0,person,0.85,1.0,0.1994613260030746,True,True,WRITING,0.989374483625094
41,1776751283.8627875,5,4,1.0,person,0.9662723911397214,1.0,0.0616100803017616,True,True,WRITING,0.9948439165240242
41,1776751283.8627875,7,5,1.0,person,0.85,1.0,0.3194120526313782,True,True,WRITING,0.954428676338423
41,1776751283.8627875,10,7,1.0,person,0.85,1.0,0.3967325091361999,True,True,WRITING,0.978574788570404
41,1776751283.8627875,13,8,1.0,person,0.98812267363773,0.7,1.0,True,False,,0.9071368225634266
41,1776751283.8627875,9,1,1.0,person,0.85,1.0,0.2055107653141021,True,True,WRITING,0.9880807484899248
43,1776751286.309683,1,20,1.0,person,0.55,1.0,0.1186281889677047,False,False,,0.7005469096558435
43,1776751286.309683,2,2,1.0,person,0.85,1.0,0.1291825026273727,True,True,WRITING,0.9911532955510276
43,1776751286.309683,3,3,1.0,person,0.85,1.0,0.1935041695833206,True,True,WRITING,0.9898045353946232
43,1776751286.309683,5,4,1.0,person,0.9559780477294844,1.0,0.1018709912896156,True,True,WRITING,0.9950659892388752
43,1776751286.309683,7,5,1.0,person,0.55,1.0,0.4011284410953522,False,False,,0.9214603127468198
43,1776751286.309683,10,7,1.0,person,0.85,1.0,0.3267442286014557,True,True,WRITING,0.978254179301716
43,1776751286.309683,13,8,1.0,person,0.85,0.85,1.0,True,True,WRITING,0.90779957463753
43,1776751286.309683,9,1,1.0,person,0.85,1.0,0.1259140968322754,True,True,WRITING,0.9891041197947094
45,1776751288.950669,1,20,1.0,person,0.55,1.0,0.0919845104217529,False,False,,0.7095176336311159
45,1776751288.950669,2,2,1.0,person,0.85,1.0,0.1268077194690704,True,True,WRITING,0.991959851412546
45,1776751288.950669,3,3,1.0,person,0.85,1.0,0.2369248420000076,True,True,WRITING,0.9898929766246248
45,1776751288.950669,5,4,1.0,person,0.9587416186483562,1.0,0.0670354217290878,True,True,WRITING,0.9955824244590032
45,1776751288.950669,7,5,1.0,person,0.85,1.0,0.3998700082302093,True,True,WRITING,0.9257883848178952
45,1776751288.950669,10,7,1.0,person,0.85,1.0,0.1015015095472335,True,True,WRITING,0.9808655856620696
45,1776751288.950669,13,8,1.0,person,0.85,0.85,0.7253657579421997,True,True,WRITING,0.9101306568871697
45,1776751288.950669,9,1,1.0,person,0.85,1.0,0.1462003588676452,True,True,WRITING,0.9897672803629012
